,CountryName,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,H1_Public information campaigns,H1_Flag
947,Australia,20200101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
948,Australia,20200102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
949,Australia,20200103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950,Australia,20200104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951,Australia,20200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
952,Australia,20200106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
953,Australia,20200107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,Australia,20200108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955,Australia,20200109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,Australia,20200110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,Australia,20200111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,Australia,20200112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
959,Australia,20200113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960,Australia,20200114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,Australia,20200115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,Australia,20200116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
963,Australia,20200117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
964,Australia,20200118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965,Australia,20200119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966,Australia,20200120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
967,Australia,20200121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,Australia,20200122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969,Australia,20200123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
970,Australia,20200124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
971,Australia,20200125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
972,Australia,20200126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
973,Australia,20200127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
974,Australia,20200128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
975,Australia,20200129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
976,Australia,20200130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
977,Australia,20200131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
978,Australia,20200201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
979,Australia,20200202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
980,Australia,20200203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
981,Australia,20200204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
982,Australia,20200205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
983,Australia,20200206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
984,Australia,20200207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
985,Australia,20200208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
986,Australia,20200209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
987,Australia,20200210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
988,Australia,20200211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
989,Australia,20200212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
990,Australia,20200213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
991,Australia,20200214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
992,Australia,20200215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
993,Australia,20200216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
994,Australia,20200217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
995,Australia,20200218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
996,Australia,20200219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
997,Australia,20200220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
998,Australia,20200221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
999,Australia,20200222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1000,Australia,20200223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1001,Australia,20200224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1002,Australia,20200225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1003,Australia,20200226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1004,Australia,20200227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1005,Australia,20200228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1006,Australia,20200229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1007,Australia,20200301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1008,Australia,20200302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1009,Australia,20200303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1010,Australia,20200304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1011,Australia,20200305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1012,Australia,20200306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1013,Australia,20200307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1014,Australia,20200308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1015,Australia,20200309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1016,Australia,20200310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1017,Australia,20200311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1018,Australia,20200312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1019,Australia,20200313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1020,Australia,20200314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1021,Australia,20200315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1022,Australia,20200316,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1023,Australia,20200317,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1024,Australia,20200318,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0
1025,Australia,20200319,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0
1026,Australia,20200320,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0
1027,Australia,20200321,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0
1028,Australia,20200322,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0
1029,Australia,20200323,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0
1030,Australia,20200324,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1031,Australia,20200325,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1032,Australia,20200326,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1033,Australia,20200327,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1034,Australia,20200328,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1035,Australia,20200329,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1036,Australia,20200330,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1037,Australia,20200331,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1038,Australia,20200401,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0
1039,Australia,20200402,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1040,Australia,20200403,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1041,Australia,20200404,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1042,Australia,20200405,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1043,Australia,20200406,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1044,Australia,20200407,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1045,Australia,20200408,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1046,Australia,20200409,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1047,Australia,20200410,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1048,Australia,20200411,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1049,Australia,20200412,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1050,Australia,20200413,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1051,Australia,20200414,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1052,Australia,20200415,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1053,Australia,20200416,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1054,Australia,20200417,3.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1055,Australia,20200418,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1056,Australia,20200419,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1057,Australia,20200420,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1058,Australia,20200421,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1059,Australia,20200422,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1060,Australia,20200423,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1061,Australia,20200424,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1062,Australia,20200425,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1063,Australia,20200426,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1064,Australia,20200427,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1065,Australia,20200428,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1066,Australia,20200429,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1067,Australia,20200430,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1068,Australia,20200501,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1069,Australia,20200502,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1070,Australia,20200503,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1071,Australia,20200504,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1072,Australia,20200505,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1073,Australia,20200506,2.0,0.0,2.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,1.0
1074,Australia,20200507,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,Australia,20200508,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1076,Australia,20200509,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077,Australia,20200510,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
